,geometry,n
0,POINT (127.3692431438849 36.35264067625897),131
1,POINT (127.3691087105263 36.36584739473684),39
2,POINT (127.36382319393945 36.35656045454545),165
3,POINT (127.35872946428572 36.35365057142857),56
4,POINT (127.35335435593221 36.35115381355932),59
5,POINT (127.3473632 36.35295772941177),85
6,POINT (127.34129909629631 36.35473077777777),133
7,POINT (127.3433113529412 36.36088533823528),0
8,POINT (127.36922869135809 36.345886629629646),82
9,POINT (127.36936118750002 36.357927275),86
10,POINT (127.3402333333334 36.348848196078436),50
11,POINT (127.33985586363637 36.34475077272727),23
12,POINT (127.3473051904762 36.348048261904765),48
13,POINT (127.37000631428566 36.33390959999999),38
14,POINT (127.3495807 36.360112300000004),0
15,POINT (127.34635427272728 36.34206486363635),0
16,POINT (127.34771809090911 36.332609727272725),47
17,POINT (127.36375879411762 36.36332888235296),34
18,POINT (127.35785920967743 36.359401596774205),115
19,POINT (127.33785525185188 36.363540859259246),144
20,POINT (127.32555340384621 36.36694562499999),104
21,POINT (127.33204491346146 36.366280625),104
22,POINT (127.33579033333334 36.33835288888889),9
23,POINT (127.33434280000002 36.343541800000004),5
24,POINT (127.32883800000002 36.34882905882353),12
25,POINT (127.32996172727272 36.35327427272727),11
26,POINT (127.33190254166674 36.35724764583333),45
27,POINT (127.32593590625001 36.35955465625001),32
28,POINT (127.3188270909091 36.366960863636365),22
29,POINT (127.36663523999997 36.33559364),22
30,POINT (127.36677522727273 36.34103995454546),22
31,POINT (127.33987283333333 36.33154577083331),45
32,POINT (127.33226133333336 36.331914958333336),24
33,POINT (127.35204940909092 36.33220486363637),21
34,POINT (127.35783820000003 36.33271963333333),31
35,POINT (127.34790808333334 36.32818483333333),12
36,POINT (127.31888511111111 36.35939388888889),18
37,POINT (127.33517964705882 36.34768929411764),20
38,POINT (127.34497272277227 36.36096766336632),174
39,POINT (127.35128737037039 36.359890814814825),100
40,POINT (127.35245284848486 36.35653766666667),37
41,POINT (127.3393509 36.3677),10
42,POINT (127.34836184210526 36.339842736842094),28
43,POINT (127.32490999999997 36.332260375000004),8
44,POINT (127.31868888888887 36.33227811111111),9
45,POINT (127.31934893333337 36.34154433333333),15
46,POINT (127.32504891666669 36.34712991666667),14
47,POINT (127.33625815789473 36.35537899999999),28
48,POINT (127.34396742857143 36.34085042857142),15
49,POINT (127.345701 36.367955),2
0,POINT (127.3494166836735 36.35983702040817),98
1,POINT (127.36934572972974 36.35771732432433),0
2,POINT (127.35550895614027 36.35949145614033),95
3,POINT (127.36210678651692 36.3584038089888),90
4,POINT (127.36917151562496 36.34752575000002),62
5,POINT (127.36943554399998 36.35250892000001),122
6,POINT (127.36866870967744 36.366462741935486),30
7,POINT (127.33737467741932 36.355725774193544),33
8,POINT (127.36313375757577 36.36424833333333),24
9,POINT (127.34835923809521 36.3529122222222),63
10,POINT (127.34216014285714 36.35420285714285),0
11,POINT (127.33141451282049 36.35740851282051),39
12,POINT (127.32584888888886 36.35979003703703),27
13,POINT (127.31875861538464 36.359417),13
14,POINT (127.3373684776119 36.36318044776119),136
15,POINT (127.36432880392157 36.35481689215687),100
16,POINT (127.35876181967213 36.353919213114736),61
17,POINT (127.35362909433965 36.35110583018869),53
18,POINT (127.34386929787235 36.36098846099289),142
19,POINT (127.32580158653852 36.367312192307686),103
20,POINT (127.33178862162166 36.36632301351349),72
21,POINT (127.34708646428575 36.33038071428571),28
22,POINT (127.34230080530979 36.35482215044247),118
23,POINT (127.34767347368422 36.347763368421056),20
24,POINT (127.3467343809524 36.341417857142865),21
25,POINT (127.34923933333332 36.337118555555556),9
26,POINT (127.31864066666667 36.36643686666666),15
27,POINT (127.36829451851852 36.33546237037036),25
28,POINT (127.35746166666668 36.33256726666666),15
29,POINT (127.35038621428573 36.332350642857136),14
30,POINT (127.36875980555553 36.34333322222223),38
31,POINT (127.3397849 36.332232700000006),19
32,POINT (127.33702825 36.338303875),11
33,POINT (127.33943212499999 36.36778962499999),8
34,POINT (127.34008377499997 36.348309475),38
35,POINT (127.33961374999998 36.34356805000001),19
36,POINT (127.33248357142858 36.332747142857144),7
37,POINT (127.345482375 36.366766875),8
38,POINT (127.370047 36.330113),2
39,POINT (127.33395218181819 36.34839581818182),23
40,POINT (127.3263909166667 36.34830683333334),24
41,POINT (127.32939925 36.352768625),8
42,POINT (127.32044361111113 36.34260822222223),18
43,POINT (127.31813 36.33227),2
44,POINT (127.324411 36.332273),1
45,POINT (127.352123 36.367661),2
46,POINT (127.36706299999999 36.36289666666667),11
47,POINT (127.36909253333332 36.35760786666666),56
48,POINT (127.332693 36.342985),3
49,POINT (127.35805466666666 36.36223833333334),25
50,POINT (127.363266 36.334733),4
0,POINT (127.36961364062499 36.35212318750001),65
1,POINT (127.36547873015873 36.354744222222216),57
2,POINT (127.3587186296296 36.354100370370354),54
3,POINT (127.35326616666667 36.35085477777779),34
4,POINT (127.36909367391304 36.34564993478261),46
5,POINT (127.34134850000001 36.35444025),0
6,POINT (127.34351099999999 36.3616768),0
7,POINT (127.34956411111118 36.35937911111111),41
8,POINT (127.35746356250003 36.36000135937501),56
9,POINT (127.36318965217393 36.365425565217386),23
10,POINT (127.36308518666662 36.35744106666666),68
11,POINT (127.318834 36.366928),4
12,POINT (127.33789577272724 36.36496029545453),45
13,POINT (127.33042284999999 36.366964949999996),20
14,POINT (127.32558975 36.367130187499995),16
15,POINT (127.35065159999999 36.331953999999996),0
16,POINT (127.35604371428572 36.332401571428576),15
17,POINT (127.34946 36.335843),0
18,POINT (127.3483706 36.33986219999999),10
19,POINT (127.34806233333335 36.347652333333336),6
20,POINT (127.36659440000001 36.3396032),5
21,POINT (127.36898492307695 36.33455423076923),13
22,POINT (127.3476013235294 36.33215200000001),39
23,POINT (127.33956557777778 36.33178946666666),42
24,POINT (127.3318736666667 36.35692487500001),24
25,POINT (127.32553573333335 36.35987726666667),15
26,POINT (127.31842300000002 36.35938725),8
27,POINT (127.34021119999997 36.35446496),0
28,POINT (127.34702184375 36.35259046875001),0
29,POINT (127.34537723076923 36.360559923076934),0
30,POINT (127.36908166666667 36.36566750000001),6
31,POINT (127.347925 36.327638285714286),7
32,POINT (127.35281061111111 36.35856472222222),46
33,POINT (127.35997266666668 36.333447666666665),5
34,POINT (127.33906419999998 36.3472096),11
35,POINT (127.33894066666666 36.342245999999996),6
36,POINT (127.33464425 36.332744937499996),16
37,POINT (127.36966519230768 36.3575581923077),34
38,POINT (127.3442427708333 36.36123572916668),59
39,POINT (127.3371623 36.357709400000005),10
40,POINT (127.340896875 36.35472250000001),0
41,POINT (127.3203985 36.342676125),8
42,POINT (127.32702844444445 36.33225855555556),9
43,POINT (127.31886800000001 36.3322775),6
44,POINT (127.3183265 36.338515333333326),6
45,POINT (127.35501066666666 36.36397),5
46,POINT (127.33084455000001 36.350638700000005),14
47,POINT (127.34563 36.367441),1
48,POINT (127.32481600000001 36.34673683333333),6
49,POINT (127.33837523076923 36.35378669230769),32
50,POINT (127.32204533333334 36.350838333333336),3
51,POINT (127.32753699999999 36.352138000000004),9
52,POINT (127.3427754117647 36.354318588235294),45
53,POINT (127.34841 36.352549499999995),37
54,POINT (127.3373985 36.3380825),6
0,POINT (127.36950691463413 36.352579378048794),81
1,POINT (127.32606679487178 36.36748394871794),39
2,POINT (127.36397503030305 36.35481337373737),94
3,POINT (127.35823053658535 36.35413524390244),40
4,POINT (127.35301570000001 36.3509951),30
5,POINT (127.34739879487178 36.35251848717949),39
6,POINT (127.34076127710846 36.354826951807226),81
7,POINT (127.3413065 36.359455999999994),0
8,POINT (127.3376363538462 36.362163830769234),63
9,POINT (127.33585249999999 36.35628235),20
10,POINT (127.326532375 36.360293625),8
11,POINT (127.31929866666667 36.35948833333333),3
12,POINT (127.33202311764704 36.36630644117646),36
13,POINT (127.36911844444444 36.365020666666666),18
14,POINT (127.36909092307691 36.33467461538461),26
15,POINT (127.35722766666669 36.33253800000001),12
16,POINT (127.35156322222221 36.332185666666675),9
17,POINT (127.34743184999999 36.3328705),20
18,POINT (127.33961955 36.331884249999995),20
19,POINT (127.33730600000001 36.3369322),5
20,POINT (127.339606 36.342888),2
21,POINT (127.34006899999999 36.34939685714286),7
22,POINT (127.34765809090905 36.346729772727265),22
23,POINT (127.36924682758621 36.357762448275864),30
24,POINT (127.36948749999999 36.34378685714285),14
25,POINT (127.36879739999999 36.34817975000001),20
26,POINT (127.35821011363633 36.359621227272726),39
27,POINT (127.35143189473686 36.358382842105264),35
28,POINT (127.3478953 36.3280601),10
29,POINT (127.34471093478258 36.359763521739126),50
30,POINT (127.34840080000001 36.33964800000001),20
31,POINT (127.3665759 36.3402256),10
32,POINT (127.31826 36.332283),1
33,POINT (127.324231 36.33225),2
34,POINT (127.3349514 36.3324862),5
35,POINT (127.361033 36.333738),2
36,POINT (127.36344487499996 36.35915684375),42
37,POINT (127.36239233333332 36.365496888888885),10
38,POINT (127.356131 36.368198),2
39,POINT (127.33933533333334 36.36813966666667),3
40,POINT (127.31867733333333 36.366903),3
41,POINT (127.333318 36.348605),2
42,POINT (127.32609733333334 36.34799433333333),6
43,POINT (127.32041319999999 36.342496800000006),5
44,POINT (127.33125783333334 36.356058833333336),9
0,POINT (127.32729422727274 36.36655568181818),22
1,POINT (127.36962807499995 36.35292385),39
2,POINT (127.33317653846156 36.36596984615385),13
3,POINT (127.33859781818181 36.36232009090908),33
4,POINT (127.34082810810808 36.35576608108108),43
5,POINT (127.3320525 36.356901),0
6,POINT (127.32551654545453 36.35967309090909),11
7,POINT (127.339563 36.368135),2
8,POINT (127.35170717647061 36.35941138235295),33
9,POINT (127.3586305882353 36.35957470588235),19
10,POINT (127.3637566617647 36.35568695588234),66
11,POINT (127.36848266666668 36.365722),4
12,POINT (127.34502013793104 36.3610206551724),31
13,POINT (127.362205 36.364716),2
14,POINT (127.34637330434782 36.353292260869566),20
15,POINT (127.36804033333334 36.334987166666664),6
16,POINT (127.366566 36.34031925),4
17,POINT (127.34792585714285 36.32757557142857),7
18,POINT (127.3472474375 36.331886999999995),16
19,POINT (127.34839025000001 36.33950599999999),8
20,POINT (127.343895 36.3400605),2
21,POINT (127.33871883333332 36.33485233333334),4
22,POINT (127.33923042857143 36.33092528571429),9
23,POINT (127.36920305882353 36.3586315882353),17
24,POINT (127.36914663636362 36.347479818181824),20
25,POINT (127.35629119999999 36.3324428),5
26,POINT (127.33655266666666 36.35520116666667),0
27,POINT (127.35224549999998 36.35112875),10
28,POINT (127.35785304166667 36.35406033333333),24
29,POINT (127.370364 36.34332333333334),5
30,POINT (127.346256 36.34766),3
31,POINT (127.3310575 36.35747558333333),16
32,POINT (127.318109 36.359484),3
33,POINT (127.332605 36.332346),1
34,POINT (127.31933699999999 36.332283000000004),2
35,POINT (127.32649 36.332288),2
36,POINT (127.3332605 36.348254999999995),2
37,POINT (127.33889699999999 36.34664766666667),3
0,POINT (127.34796825 36.32749425),4
1,POINT (127.36977307692305 36.334358538461544),13
2,POINT (127.34970410526316 36.33211615789473),19
3,POINT (127.35656065 36.33239),20
4,POINT (127.36249366666665 36.334353666666665),12
5,POINT (127.344848 36.361594333333336),0
6,POINT (127.36862264285716 36.36651385714286),14
7,POINT (127.341132625 36.35597791666667),22
8,POINT (127.35136684210525 36.36011352631579),19
9,POINT (127.34479272 36.36151996),30
10,POINT (127.35743349999996 36.36033153571428),30
11,POINT (127.3632686590909 36.35689438636363),42
12,POINT (127.36891439130436 36.35730547826087),23
13,POINT (127.34566133333334 36.367805999999995),3
14,POINT (127.36243023076923 36.364866076923086),13
15,POINT (127.36815775000002 36.342399),12
16,POINT (127.36938978947364 36.351383947368404),31
