,geometry,weight,time
0,"LINESTRING (127.3692431438849 36.35264067625897, 127.36382319393945 36.35656045454545)",24,2019-11-1 01:00:00
1,"LINESTRING (127.36382319393945 36.35656045454545, 127.35872946428572 36.35365057142857)",15,2019-11-1 01:00:00
2,"LINESTRING (127.35872946428572 36.35365057142857, 127.35335435593221 36.35115381355932)",15,2019-11-1 01:00:00
3,"LINESTRING (127.35335435593221 36.35115381355932, 127.3473632 36.35295772941177)",14,2019-11-1 01:00:00
4,"LINESTRING (127.3473632 36.35295772941177, 127.34129909629631 36.35473077777777)",17,2019-11-1 01:00:00
5,"LINESTRING (127.34129909629631 36.35473077777777, 127.3433113529412 36.36088533823528)",17,2019-11-1 01:00:00
6,"LINESTRING (127.3433113529412 36.36088533823528, 127.34129909629631 36.35473077777777)",14,2019-11-1 01:00:00
7,"LINESTRING (127.34129909629631 36.35473077777777, 127.3473632 36.35295772941177)",10,2019-11-1 01:00:00
8,"LINESTRING (127.3473632 36.35295772941177, 127.35335435593221 36.35115381355932)",9,2019-11-1 01:00:00
9,"LINESTRING (127.35335435593221 36.35115381355932, 127.35872946428572 36.35365057142857)",11,2019-11-1 01:00:00
10,"LINESTRING (127.35872946428572 36.35365057142857, 127.36382319393945 36.35656045454545)",14,2019-11-1 01:00:00
11,"LINESTRING (127.36382319393945 36.35656045454545, 127.3692431438849 36.35264067625897)",20,2019-11-1 01:00:00
12,"LINESTRING (127.3692431438849 36.35264067625897, 127.36922869135809 36.345886629629646)",12,2019-11-1 01:00:00
13,"LINESTRING (127.36922869135809 36.345886629629646, 127.3692431438849 36.35264067625897)",16,2019-11-1 01:00:00
14,"LINESTRING (127.3692431438849 36.35264067625897, 127.36936118750002 36.357927275)",12,2019-11-1 01:00:00
15,"LINESTRING (127.36936118750002 36.357927275, 127.3691087105263 36.36584739473684)",2,2019-11-1 01:00:00
16,"LINESTRING (127.34129909629631 36.35473077777777, 127.3402333333334 36.348848196078436)",12,2019-11-1 01:00:00
17,"LINESTRING (127.3402333333334 36.348848196078436, 127.33985586363637 36.34475077272727)",9,2019-11-1 01:00:00
18,"LINESTRING (127.33985586363637 36.34475077272727, 127.3473051904762 36.348048261904765)",1,2019-11-1 01:00:00
19,"LINESTRING (127.3473051904762 36.348048261904765, 127.35335435593221 36.35115381355932)",4,2019-11-1 01:00:00
20,"LINESTRING (127.37000631428566 36.33390959999999, 127.3692431438849 36.35264067625897)",1,2019-11-1 01:00:00
21,"LINESTRING (127.3433113529412 36.36088533823528, 127.34497272277227 36.36096766336632)",37,2019-11-1 01:00:00
22,"LINESTRING (127.34497272277227 36.36096766336632, 127.3495807 36.360112300000004)",27,2019-11-1 01:00:00
23,"LINESTRING (127.3473632 36.35295772941177, 127.3473051904762 36.348048261904765)",6,2019-11-1 01:00:00
24,"LINESTRING (127.3473051904762 36.348048261904765, 127.34635427272728 36.34206486363635)",5,2019-11-1 01:00:00
25,"LINESTRING (127.34635427272728 36.34206486363635, 127.34836184210526 36.339842736842094)",3,2019-11-1 01:00:00
26,"LINESTRING (127.34836184210526 36.339842736842094, 127.34771809090911 36.332609727272725)",3,2019-11-1 01:00:00
27,"LINESTRING (127.34771809090911 36.332609727272725, 127.3691087105263 36.36584739473684)",1,2019-11-1 01:00:00
28,"LINESTRING (127.3691087105263 36.36584739473684, 127.36375879411762 36.36332888235296)",9,2019-11-1 01:00:00
29,"LINESTRING (127.36375879411762 36.36332888235296, 127.35785920967743 36.359401596774205)",6,2019-11-1 01:00:00
30,"LINESTRING (127.35785920967743 36.359401596774205, 127.36375879411762 36.36332888235296)",8,2019-11-1 01:00:00
